neighborhood,latitude,longitude
vila alpina,-23.59973999999994,-46.56215999999995
vila ester,-23.621369999999956,-46.46431999999993
vila nova galvao,-23.450489999999945,-46.57180999999997
vila pierina,-23.51350999999994,-46.52884999999998
vila hamburguesa,-23.54138999999998,-46.72700999999995
analia franco,-23.555109999999956,-46.57600999999994
chacara sao joao,-22.012589999999932,-47.87656999999996
vila ida,-23.54176999999993,-46.71172999999993
vila oratorio,-23.57058999999998,-46.577609999999936
limao,-23.508839999999964,-46.67157999999995
barro branco,-23.58114190623375,-46.39036783606649
vila ipojuca,-23.532119999999964,-46.70536999999996
agua fria,-23.48253999999997,-46.61827999999997
vila euthalia,-23.546289999999942,-46.52374999999995
vila dom pedro i,-23.59883999999994,-46.61287999999996
vila caraguata,-23.646599999999978,-46.60529999999994
jardim cidade pirituba,-23.47927999999996,-46.72700999999995
jardim europa,-23.576209999999946,-46.68415999999996
jardim arpoador,-23.60012999999998,-46.78717999999998
vila souza,-23.61245589405302,-46.49930426498506
conjunto residencial jardim canaa,-23.654889999999966,-46.66393999999997
vila nova manchester,-23.543999999999983,-46.53494999999998
agua funda,-23.632979999999975,-46.62749999999994
jardim pedra branca,-23.582449999999938,-46.420369999999934
varzea de baixo,-23.64080999999993,-46.718519999999955
jardim sydney,-23.454629999999952,-46.71649999999994
jardim celeste,-23.59902999999997,-46.75079999999997
jardim novo taboao,-23.66083999999995,-46.619749999999954
jardim nosso lar,-23.66569999999996,-46.66582999999997
sitio morro grande,-23.46790999999996,-46.705539999999985
jardim bartira,-23.51087999999993,-46.40999999999997
vila claudia,-23.667957824213808,-46.72328950825806
vila vermelha,-23.626679999999965,-46.60140999999993
cidade nova heliopolis,-23.610439999999983,-46.586409999999944
vila medeiros,-23.48903999999993,-46.583279999999945
vila firmiano pinto,-23.59833999999995,-46.620389999999986
vila bertioga,-23.56227999999993,-46.578899999999976
jardim danfer,-23.499539999999968,-46.50750999999997
