,latitude,longitude,squared_meters,bedrooms,bathrooms,suites,parking_spaces,estimated_price
284,-23.529219999999953,-46.696919999999984,72.0,3.0,2.0,0.0,1.0,536.3935172901556
285,-23.598839999999942,-46.61287999999996,68.0,2.0,2.0,1.0,1.0,506.0488704558387
286,-23.56199999999995,-46.685969999999934,159.0,3.0,2.0,0.0,2.0,1162.6705044216842
287,-23.49127999999996,-46.718479999999936,61.0,3.0,1.0,0.0,1.0,413.66416048534495
288,-23.60077999999993,-46.67093999999997,225.0,4.0,3.0,0.0,5.0,2036.17967313026
289,-23.46805999999998,-46.58228999999994,94.0,3.0,1.0,0.0,1.0,528.7636121009747
290,-23.618319999999986,-46.624169999999935,80.0,2.0,3.0,0.0,1.0,630.6655619602351
291,-23.54790999999995,-46.56146999999999,60.0,2.0,2.0,1.0,1.0,438.1770720326509
292,-23.53942999999998,-46.447809999999954,73.0,3.0,2.0,0.0,1.0,417.8290015639923
293,-23.560009999999977,-46.64522999999997,144.0,2.0,2.0,1.0,1.0,942.4631772645208
294,-23.609509999999947,-46.706019999999974,84.0,3.0,2.0,0.0,2.0,757.4933172625401
295,-23.606049999999986,-46.663669999999975,200.0,3.0,5.0,3.0,2.0,1660.177647527736
296,-23.533329999999975,-46.53332999999998,134.0,4.0,3.0,0.0,2.0,1008.8533327544568
297,-23.591829999999963,-46.67245999999993,169.0,4.0,2.0,0.0,3.0,1347.9838751741586
298,-23.572349999999968,-46.66084999999998,158.0,3.0,2.0,0.0,1.0,991.1144359019933
299,-23.480919999999966,-46.689129999999984,50.0,2.0,2.0,0.0,1.0,428.19178162505193
300,-23.62035999999995,-46.67229999999995,200.0,3.0,3.0,1.0,2.0,1474.5865114839576
301,-23.559179999999966,-46.568469999999934,74.0,3.0,2.0,1.0,2.0,656.3735104132684
302,-23.589969999999933,-46.616569999999975,82.0,3.0,2.0,1.0,2.0,723.3000600912079
303,-23.496439999999946,-46.62925999999993,126.0,3.0,3.0,1.0,2.0,1049.5353767233582
304,-23.56199999999995,-46.685969999999934,110.0,3.0,3.0,2.0,2.0,1007.7976775295008
305,-23.560009999999977,-46.64522999999997,96.0,2.0,1.0,0.0,1.0,583.1410367945105
306,-23.557549999999928,-46.56735999999995,65.0,1.0,1.0,0.0,1.0,388.92449143722786
